latitude,longitude,crime_type,crime_severity,date,time,hour,area,lighting_score,cctv_score,crowd_density,police_proximity,is_night
12.947557,77.642527,Chain Snatching,4.7,2023-04-15,17:15,17,Domlur,0.71,0.89,0.18,0.48,0
12.940188,77.621612,Theft,4.4,2024-07-28,20:32,20,BTM Layout,0.28,0.65,0.59,0.3,1
12.966344,77.561847,Vandalism,3.6,2024-12-15,22:48,22,Majestic,0.48,0.28,0.29,0.79,1
12.920129,77.581401,Chain Snatching,6.5,2024-09-10,07:22,7,BTM Layout,0.34,0.04,0.51,0.21,0
12.970697,77.620413,Pickpocketing,3.9,2024-01-06,10:53,10,Domlur,0.62,0.7,0.14,0.31,0
12.90288,77.588915,Vehicle Theft,3.3,2023-10-12,07:55,7,BTM Layout,0.51,0.83,0.25,0.42,0
12.925128,77.634064,Vehicle Theft,3.2,2024-10-12,21:41,21,Koramangala,0.25,0.73,0.25,0.44,1
12.949845,77.698986,Drug Offense,7.3,2023-02-27,01:53,1,Marathahalli,0.31,0.03,0.38,0.34,1
12.890296,77.611712,Eve Teasing,5.9,2023-08-06,18:56,18,Bannerghatta Road,0.69,0.4,0.92,0.51,0
12.965969,77.604641,Vehicle Theft,3.8,2024-08-21,01:34,1,Majestic,0.49,0.58,0.43,1.0,1
12.908495,77.610017,Robbery,6.1,2023-04-23,21:48,21,BTM Layout,0.24,0.16,0.71,0.64,1
13.004693,77.536529,Pickpocketing,2.8,2024-07-20,17:33,17,Rajajinagar,0.87,0.01,0.75,0.71,0
13.003618,77.592817,Drug Offense,5.3,2024-03-21,20:21,20,Chickpet,0.24,0.0,0.75,0.75,1
12.927577,77.612671,Drug Offense,5.3,2024-10-02,16:58,16,BTM Layout,0.37,0.64,0.65,0.24,0
12.958636,77.542801,Robbery,6.0,2023-11-28,01:58,1,Majestic,0.54,0.11,0.43,0.99,1
12.977551,77.6123,Vehicle Theft,4.7,2023-03-22,22:56,22,Shivajinagar,0.18,0.49,0.16,0.78,1
12.968172,77.599382,Robbery,6.5,2024-06-24,00:35,0,Shivajinagar,0.89,0.42,0.29,0.59,1
12.834369,77.669987,Eve Teasing,5.6,2024-03-24,12:42,12,Electronic City,0.91,0.45,0.32,0.16,0
12.987278,77.587279,Theft,2.9,2023-03-14,20:37,20,Majestic,0.74,0.06,0.16,0.13,1
13.023212,77.592362,Assault,7.7,2023-08-08,21:17,21,Hebbal,0.59,0.72,0.89,0.62,1
13.077978,77.612895,Eve Teasing,3.4,2024-11-05,13:12,13,Yelahanka,0.49,0.42,0.52,0.76,0
12.956886,77.549768,Chain Snatching,6.4,2023-04-22,20:21,20,Majestic,0.32,0.19,0.5,0.48,1
13.048322,77.601448,Vehicle Theft,5.4,2024-07-17,21:28,21,Hebbal,0.19,0.65,0.59,0.11,1
12.940986,77.614178,Chain Snatching,5.2,2024-05-07,07:10,7,Koramangala,0.29,0.4,0.15,0.44,0
12.996718,77.755987,Pickpocketing,3.3,2024-07-23,17:18,17,Whitefield,0.7,0.49,0.27,0.3,0
12.893284,77.63765,Theft,5.0,2023-02-28,23:03,23,Koramangala,0.15,0.48,0.93,0.58,1
12.951262,77.590065,Theft,2.7,2024-09-01,02:54,2,Majestic,0.16,0.86,0.46,0.95,1
12.931685,77.630214,Vandalism,3.2,2024-03-05,02:02,2,Koramangala,0.69,0.57,0.38,0.33,1
12.951429,77.647625,Assault,7.7,2023-11-04,23:08,23,Domlur,0.51,0.93,0.94,0.11,1
12.962247,77.562268,Vandalism,3.1,2024-06-02,03:04,3,Majestic,0.34,0.93,0.89,0.89,1
12.93282,77.600015,Assault,7.2,2023-11-06,23:53,23,Jayanagar,0.65,0.99,0.69,0.11,1
13.092654,77.604099,Drug Offense,5.4,2023-04-29,21:56,21,Yelahanka,0.9,0.74,0.24,0.35,1
13.011834,77.554682,Eve Teasing,5.5,2023-09-28,06:43,6,Rajajinagar,0.55,0.25,0.92,0.15,0
12.984873,77.54814,Pickpocketing,3.0,2023-05-14,01:00,1,Rajajinagar,0.67,0.26,0.77,0.6,1
13.001832,77.593413,Pickpocketing,4.8,2024-12-08,08:04,8,Shivajinagar,0.91,0.55,0.85,0.62,0
13.100677,77.592881,Robbery,7.1,2023-02-10,21:19,21,Yelahanka,0.91,0.21,0.32,0.19,1
12.956154,77.63523,Drug Offense,7.2,2023-08-31,13:39,13,Domlur,0.88,0.98,0.83,0.89,0
12.965403,77.582553,Theft,5.7,2024-11-16,21:50,21,Chickpet,0.88,0.81,0.34,0.81,1
12.943068,77.720967,Chain Snatching,5.4,2023-07-24,07:54,7,Marathahalli,0.83,0.46,0.37,0.82,0
12.856474,77.593009,Eve Teasing,4.6,2023-10-13,23:12,23,Random Spread,0.88,0.97,0.35,0.68,1
12.985433,77.591443,Pickpocketing,4.8,2023-04-29,17:21,17,Shivajinagar,0.89,0.26,0.62,0.99,0
12.932122,77.629325,Theft,4.9,2023-11-18,22:22,22,Koramangala,0.49,0.98,0.2,0.91,1
12.921597,77.609989,Eve Teasing,3.0,2024-07-05,23:27,23,BTM Layout,0.72,0.94,0.76,0.28,1
13.0,77.608027,Pickpocketing,3.0,2023-11-18,19:58,19,Shivajinagar,0.7,0.12,0.91,0.56,0
12.972774,77.616876,Pickpocketing,3.7,2023-07-16,19:18,19,Shivajinagar,0.48,0.94,0.71,0.91,0
12.908103,77.630357,Vandalism,3.7,2023-11-08,01:35,1,Bannerghatta Road,0.36,0.43,0.62,0.69,1
12.967918,77.587917,Cybercrime,5.0,2023-06-23,21:13,21,Majestic,0.69,0.28,0.7,0.66,1
12.917995,77.602548,Chain Snatching,4.9,2023-07-23,07:43,7,BTM Layout,0.23,0.05,0.99,0.65,0
12.971728,77.636082,Chain Snatching,4.6,2024-12-14,20:36,20,Indiranagar,0.45,0.4,0.23,0.72,1
12.969128,77.60413,Chain Snatching,6.4,2024-12-13,07:11,7,Shivajinagar,0.57,0.05,0.32,0.86,0
12.980288,77.638947,Cybercrime,5.1,2024-07-26,14:42,14,Indiranagar,0.64,0.95,0.9,0.65,0
12.904751,77.605269,Drug Offense,5.5,2024-05-01,03:57,3,BTM Layout,0.51,0.75,0.86,0.35,1
12.920806,77.591586,Drug Offense,6.3,2024-12-31,23:17,23,Jayanagar,0.36,0.27,0.39,0.59,1
12.974784,77.6595,Robbery,6.5,2023-08-08,00:44,0,Indiranagar,0.16,0.41,0.59,0.47,1
12.953584,77.6936,Eve Teasing,6.1,2024-12-13,12:57,12,Marathahalli,0.12,0.88,0.62,0.53,0
12.997378,77.562564,Assault,8.6,2024-03-05,23:54,23,Rajajinagar,0.58,0.73,0.82,0.91,1
12.984392,77.566027,Cybercrime,3.1,2023-12-11,13:31,13,Chickpet,0.7,0.8,0.75,0.86,0
12.997256,77.556904,Robbery,8.7,2024-08-29,17:01,17,Rajajinagar,0.61,0.03,0.68,0.22,0
12.974768,77.653064,Cybercrime,4.3,2024-04-10,08:24,8,Indiranagar,0.39,0.76,0.44,0.78,0
12.982075,77.558442,Pickpocketing,2.1,2024-07-06,08:30,8,Majestic,0.15,0.95,0.3,0.16,0
12.979947,77.549397,Theft,5.4,2024-09-28,07:12,7,Majestic,0.24,0.13,0.7,0.61,0
12.954922,77.650392,Eve Teasing,4.5,2024-09-12,20:49,20,Indiranagar,0.65,0.75,0.2,0.84,1
13.024532,77.580044,Vehicle Theft,3.9,2024-11-24,21:59,21,Hebbal,0.92,0.38,0.95,0.28,1
13.050251,77.603192,Vandalism,2.2,2023-11-05,20:15,20,Hebbal,0.87,0.6,0.21,0.99,1
12.959453,77.643242,Theft,3.5,2024-06-02,22:42,22,Indiranagar,0.68,0.01,0.48,0.54,1
12.955936,77.566694,Pickpocketing,4.5,2024-12-25,20:57,20,Chickpet,0.24,0.18,0.57,0.69,1
13.02432,77.580224,Vandalism,3.0,2024-03-22,17:49,17,Random Spread,0.84,0.59,0.39,0.32,0
12.899495,77.619303,Chain Snatching,6.3,2024-08-06,18:15,18,Bannerghatta Road,0.65,0.38,0.13,0.87,0
12.935191,77.696513,Robbery,6.8,2023-10-14,23:51,23,Marathahalli,0.89,0.7,0.35,0.11,1
13.019737,77.604237,Eve Teasing,5.0,2023-09-04,23:26,23,Hebbal,0.72,0.65,0.54,0.81,1
12.924062,77.594165,Chain Snatching,4.7,2024-11-10,18:44,18,Jayanagar,0.62,0.47,0.58,0.48,0
12.920792,77.503709,Drug Offense,5.9,2023-08-25,03:17,3,Random Spread,0.21,0.19,0.21,0.58,1
13.086709,77.588706,Robbery,6.8,2024-08-26,02:30,2,Yelahanka,0.98,0.52,0.35,0.19,1
12.962044,77.70365,Eve Teasing,4.2,2024-12-26,20:11,20,Marathahalli,0.58,0.27,0.98,0.6,1
12.963026,77.683348,Robbery,8.6,2024-08-10,00:06,0,Marathahalli,0.36,0.48,0.41,0.97,1
12.975093,77.526022,Vehicle Theft,5.5,2024-02-15,15:07,15,Random Spread,0.54,0.58,0.72,0.24,0
13.113687,77.612393,Vandalism,2.2,2024-03-02,02:15,2,Yelahanka,0.65,0.79,0.3,0.57,1
13.015135,77.582933,Cybercrime,5.4,2024-03-15,09:55,9,Hebbal,0.37,0.62,0.65,0.77,0
12.850071,77.664315,Eve Teasing,3.3,2023-09-03,20:42,20,Electronic City,0.26,0.08,0.1,0.51,1
13.000696,77.602486,Vandalism,2.6,2023-10-17,22:14,22,Rajajinagar,0.73,0.45,0.72,0.93,1
12.993756,77.767688,Vandalism,2.2,2023-08-19,06:27,6,Whitefield,0.68,0.91,0.84,0.16,0
12.964125,77.763561,Robbery,8.5,2023-10-23,19:47,19,Whitefield,0.5,0.47,0.37,0.46,0
12.96288,77.628429,Vehicle Theft,3.2,2023-02-10,00:28,0,Domlur,0.9,0.73,0.64,0.12,1
13.018464,77.537689,Eve Teasing,6.8,2024-11-19,18:37,18,Majestic,0.84,0.58,0.79,0.26,0
12.978197,77.598623,Drug Offense,8.0,2024-03-22,08:11,8,Shivajinagar,0.67,0.49,0.18,0.41,0
12.968305,77.590901,Assault,5.6,2024-02-26,20:54,20,Majestic,0.72,0.29,0.95,0.83,1
12.939906,77.612028,Drug Offense,5.8,2023-04-29,21:20,21,BTM Layout,0.97,0.4,0.56,0.99,1
12.973775,77.60053,Drug Offense,6.6,2024-09-29,20:12,20,Shivajinagar,0.78,0.63,0.78,0.28,1
13.019803,77.604481,Drug Offense,7.6,2024-05-11,00:28,0,Majestic,0.21,0.97,0.65,0.32,1
12.868923,77.600297,Robbery,7.2,2023-08-19,21:35,21,Bannerghatta Road,0.99,0.91,0.52,0.21,1
12.961799,77.719856,Robbery,7.5,2023-10-07,02:18,2,Whitefield,0.47,0.48,0.52,0.51,1
12.98589,77.586884,Robbery,8.2,2023-05-20,01:32,1,Majestic,0.88,0.28,0.81,0.47,1
12.956889,77.634886,Drug Offense,7.2,2024-08-24,20:18,20,Domlur,0.62,0.66,0.88,0.5,1
13.008716,77.60317,Cybercrime,5.2,2024-04-11,17:48,17,Shivajinagar,0.94,0.87,0.98,0.31,0
12.976882,77.664319,Pickpocketing,3.0,2024-04-29,17:02,17,Indiranagar,0.73,0.81,0.45,0.7,0
12.876509,77.590236,Robbery,7.5,2024-08-27,21:08,21,Bannerghatta Road,0.4,0.1,0.86,0.19,1
12.964414,77.601636,Cybercrime,6.5,2023-06-08,04:26,4,Chickpet,0.17,0.78,0.34,0.66,1
12.918457,77.552861,Pickpocketing,4.0,2024-06-30,10:54,10,Majestic,0.44,0.32,0.75,0.78,0
12.886576,77.590597,Drug Offense,6.9,2023-10-22,21:15,21,BTM Layout,1.0,0.75,0.49,0.19,1
12.892699,77.599461,Chain Snatching,6.7,2023-02-17,20:19,20,Bannerghatta Road,0.39,0.06,0.42,0.49,1
12.961602,77.666876,Eve Teasing,6.2,2023-06-24,22:43,22,Domlur,0.26,0.61,0.44,0.71,1
13.085877,77.603332,Cybercrime,4.8,2023-09-18,04:14,4,Yelahanka,0.51,0.67,0.91,0.52,1
12.973156,77.572396,Vehicle Theft,4.3,2023-12-20,05:04,5,Majestic,0.99,0.3,0.97,0.72,1
12.901003,77.607432,Cybercrime,6.4,2023-04-20,06:24,6,Bannerghatta Road,0.31,0.57,0.62,0.99,0
12.953518,77.664036,Vehicle Theft,3.0,2024-12-03,00:17,0,Domlur,0.8,0.97,0.92,0.77,1
12.95652,77.707101,Vehicle Theft,5.4,2023-08-13,07:38,7,Marathahalli,0.67,0.62,0.71,0.75,0
12.942414,77.607056,Robbery,6.1,2024-03-27,02:41,2,Random Spread,0.13,0.36,0.22,0.92,1
12.959838,77.588345,Assault,5.5,2024-07-06,05:12,5,Chickpet,0.89,0.37,0.55,0.35,1
12.993936,77.597446,Robbery,6.9,2023-12-13,00:51,0,Majestic,0.82,0.47,0.17,0.78,1
13.112793,77.605844,Eve Teasing,6.9,2024-07-24,23:43,23,Yelahanka,0.43,0.79,0.11,0.58,1
12.991724,77.587558,Cybercrime,4.0,2024-01-26,23:43,23,Shivajinagar,0.84,0.94,0.2,0.31,1
12.844866,77.662077,Theft,5.7,2023-08-15,23:20,23,Electronic City,0.68,0.64,0.52,0.73,1
12.95287,77.652643,Pickpocketing,2.9,2024-05-19,08:02,8,Domlur,0.2,0.23,0.58,0.45,0
12.922752,77.599183,Assault,8.8,2024-03-05,23:44,23,Jayanagar,0.63,0.73,0.9,0.69,1
12.962458,77.754609,Cybercrime,5.8,2023-08-11,08:02,8,Whitefield,0.5,0.95,0.87,0.19,0
13.010971,77.552673,Assault,5.2,2023-10-10,01:22,1,Rajajinagar,0.27,0.12,0.86,0.51,1
12.96439,77.588402,Eve Teasing,3.2,2023-12-08,22:01,22,Chickpet,0.32,0.13,0.61,0.16,1
12.982635,77.568957,Drug Offense,7.6,2023-12-03,23:52,23,Majestic,0.8,0.79,0.64,0.35,1
12.952572,77.598713,Robbery,8.4,2023-04-23,17:16,17,Jayanagar,0.69,0.03,0.11,0.81,0
12.919104,77.605073,Eve Teasing,4.1,2023-05-10,18:11,18,Koramangala,0.77,0.53,0.77,0.53,0
12.982389,77.650539,Assault,7.0,2024-09-21,20:28,20,Indiranagar,0.14,0.78,0.88,0.57,1
12.96958,77.733749,Cybercrime,7.0,2024-02-16,00:03,0,Whitefield,0.48,0.11,0.74,0.5,1
12.93918,77.603168,Chain Snatching,4.4,2024-10-01,08:04,8,Majestic,0.67,0.55,0.39,1.0,0
12.983269,77.548222,Drug Offense,7.4,2023-04-28,02:06,2,Rajajinagar,0.87,0.65,0.79,0.75,1
12.925708,77.630468,Eve Teasing,4.4,2024-04-09,19:26,19,BTM Layout,0.46,0.73,0.38,0.38,0
12.981209,77.562175,Vehicle Theft,5.8,2023-03-10,22:43,22,Majestic,0.18,0.09,0.49,0.77,1
12.986864,77.587006,Assault,7.3,2024-07-29,17:03,17,Majestic,0.61,0.67,0.47,0.89,0
12.950734,77.545966,Pickpocketing,4.9,2024-09-06,23:03,23,Majestic,0.38,0.1,0.56,0.24,1
12.834572,77.681962,Cybercrime,6.4,2024-01-12,03:22,3,Electronic City,0.2,0.28,0.3,0.49,1
12.982396,77.597856,Drug Offense,7.0,2024-07-24,19:39,19,Majestic,0.12,0.93,0.85,0.34,0
12.957272,77.638645,Robbery,7.0,2023-01-07,23:58,23,Domlur,0.26,0.14,0.69,0.16,1
12.940363,77.611264,Theft,3.5,2024-04-09,23:13,23,Koramangala,0.41,0.37,0.75,0.8,1
13.04319,77.598333,Vandalism,2.3,2024-09-24,22:09,22,Hebbal,0.14,0.08,0.5,0.48,1
12.969182,77.633885,Vandalism,3.5,2023-04-27,00:13,0,Domlur,0.41,0.11,0.71,0.63,1
12.984975,77.611269,Drug Offense,6.2,2024-09-05,01:14,1,Shivajinagar,0.15,0.2,0.95,0.79,1
12.977461,77.548219,Vehicle Theft,4.5,2024-03-16,21:00,21,Random Spread,0.26,0.38,0.73,0.55,1
13.108146,77.618974,Assault,5.2,2023-01-20,02:47,2,Random Spread,0.51,0.08,0.38,0.49,1
13.001745,77.630457,Pickpocketing,2.3,2023-01-22,13:18,13,Indiranagar,0.97,0.17,0.95,0.51,0
12.897636,77.612145,Assault,6.0,2024-08-26,02:06,2,Bannerghatta Road,0.46,0.08,0.88,0.77,1
12.886704,77.588509,Eve Teasing,5.0,2023-04-27,19:04,19,Bannerghatta Road,0.58,0.19,0.8,0.42,0
12.951722,77.595538,Robbery,6.6,2024-09-08,22:16,22,Koramangala,0.24,0.76,0.17,0.96,1
12.982952,77.605071,Cybercrime,5.3,2024-11-28,18:48,18,Majestic,0.93,0.56,0.67,0.66,0
12.974928,77.589917,Assault,6.8,2023-11-07,20:30,20,Chickpet,0.82,0.59,0.42,0.17,1
12.896697,77.637572,Cybercrime,6.3,2023-03-20,01:23,1,BTM Layout,0.68,0.98,0.18,0.63,1
12.924769,77.579849,Pickpocketing,4.2,2023-02-12,18:50,18,Jayanagar,0.5,0.81,0.69,0.39,0
12.81779,77.681862,Cybercrime,3.4,2023-12-18,01:28,1,Electronic City,0.98,0.08,0.68,0.14,1
12.988138,77.611323,Cybercrime,5.4,2024-01-08,16:33,16,Random Spread,0.44,0.28,0.47,0.4,0
12.909689,77.61491,Vandalism,2.7,2023-12-04,03:41,3,Koramangala,0.19,0.68,0.36,0.75,1
12.981469,77.576742,Vandalism,3.2,2023-05-25,10:05,10,Majestic,0.93,0.31,0.69,0.7,0
12.971915,77.597419,Robbery,7.7,2024-10-20,21:19,21,Random Spread,0.81,0.81,0.7,0.85,1
12.964166,77.721116,Drug Offense,6.1,2024-01-07,02:32,2,Whitefield,0.38,0.95,0.41,0.79,1
12.918304,77.617817,Eve Teasing,3.3,2023-04-14,19:09,19,BTM Layout,0.56,0.54,0.76,0.57,0
12.998846,77.619079,Assault,7.4,2023-06-07,19:08,19,Shivajinagar,0.25,0.83,0.79,0.83,0
12.97182,77.56757,Robbery,7.1,2023-09-01,01:26,1,Chickpet,0.97,0.61,0.78,0.81,1
12.961053,77.723471,Eve Teasing,6.1,2023-07-18,20:51,20,Marathahalli,0.43,0.95,0.99,0.52,1
13.131511,77.62273,Vehicle Theft,4.3,2023-06-15,16:33,16,Yelahanka,0.84,0.8,0.22,0.33,0
13.085294,77.592364,Cybercrime,3.4,2024-06-12,17:59,17,Yelahanka,0.87,0.29,0.79,0.35,0
12.988417,77.595935,Drug Offense,7.8,2023-08-16,02:05,2,Majestic,0.84,0.88,0.94,0.47,1
13.029295,77.591865,Pickpocketing,5.0,2024-01-19,09:24,9,Hebbal,0.3,0.32,0.19,0.74,0
12.995852,77.539643,Assault,6.1,2024-04-28,04:02,4,Majestic,0.73,0.14,0.73,0.5,1
12.971533,77.637055,Theft,2.9,2023-06-03,00:16,0,Domlur,0.59,0.73,0.57,0.2,1
12.987031,77.578263,Vehicle Theft,3.7,2024-10-16,21:03,21,Chickpet,0.81,0.46,0.2,0.91,1
12.972679,77.642668,Vandalism,3.2,2023-05-28,03:32,3,Domlur,0.36,0.0,0.42,0.61,1
12.901953,77.583022,Robbery,8.9,2023-03-11,02:33,2,Jayanagar,0.96,0.54,0.81,0.56,1
12.935101,77.63095,Theft,4.5,2024-01-18,22:02,22,Koramangala,0.33,0.02,0.81,0.41,1
12.950542,77.586006,Chain Snatching,5.0,2023-02-15,23:48,23,Chickpet,0.42,0.34,0.68,0.85,1
12.956977,77.580078,Cybercrime,3.7,2023-05-19,15:40,15,Majestic,0.16,0.78,0.51,0.36,0
12.966685,77.589717,Theft,5.7,2024-06-11,01:20,1,Chickpet,0.46,0.82,0.53,0.13,1
12.965346,77.634541,Eve Teasing,5.6,2023-10-07,18:55,18,Indiranagar,0.21,0.37,0.9,0.77,0
12.967255,77.557028,Pickpocketing,4.1,2024-01-12,09:31,9,Majestic,0.93,0.52,0.82,0.75,0
12.894989,77.607227,Chain Snatching,5.6,2023-11-25,21:11,21,BTM Layout,0.19,0.33,0.37,0.5,1
12.993041,77.577758,Pickpocketing,3.3,2023-12-28,17:22,17,Chickpet,0.65,0.43,0.68,0.81,0
12.986063,77.592983,Theft,3.5,2024-11-26,00:25,0,Majestic,0.24,0.03,0.86,0.71,1
12.974778,77.567323,Cybercrime,6.1,2024-01-11,02:15,2,Majestic,0.43,0.95,0.13,0.24,1
12.833417,77.669472,Cybercrime,6.1,2024-08-10,11:28,11,Electronic City,0.22,0.37,0.38,0.35,0
12.912374,77.575571,Chain Snatching,5.6,2024-07-29,08:31,8,BTM Layout,0.21,0.77,0.73,0.29,0
12.889902,77.564618,Vandalism,2.2,2023-03-17,01:12,1,Bannerghatta Road,0.51,0.9,0.5,0.18,1
13.044448,77.601669,Assault,7.2,2023-10-25,22:04,22,Hebbal,0.9,0.85,0.74,0.93,1
12.942571,77.698451,Robbery,6.4,2023-07-25,16:14,16,Marathahalli,0.81,0.24,0.54,0.42,0
12.909497,77.627755,Vandalism,3.2,2023-03-30,02:08,2,Koramangala,0.16,0.4,0.75,0.53,1
12.981383,77.596831,Pickpocketing,2.4,2023-11-21,18:04,18,Shivajinagar,0.68,0.45,0.71,0.41,0
12.959095,77.56324,Drug Offense,7.9,2024-03-19,22:49,22,Chickpet,0.55,0.87,0.85,0.57,1
